Network Printer Settings,إعدادات طابعة الشبكة,
New Order,طلب جديد,
No Of Hours,عدد الساعات,
No of Seats,عدد المقاعد,
Notify KOT Delay,إرسال تنبيه بتأخر تذكرة المطبخ,
Occupied,مشغولة,
Opening Amount,مبلغ الافتتاح,
Order,الطلب,
Order Info,معلومات الطلب,
Order Modified,تم تعديل الطلب,
Order No,رقم الطلب,
Order Status,حالة الطلب,
Order Type,نوع الطلب,
Order Type Menu,قائمة نوع الطلب,
Order Type Wise Menu,قائمة حسب نوع الطلب,
Original KOT,تذكرة المطبخ الأصلية,
Other Expenses,مصروفات أخرى,
Other Expenses Percent,نسبة المصروفات الأخرى,
Partially cancelled,ملغى جزئيًا,
POS Add On Items,إضافات أصناف نقطة البيع,
POS Invoice,فاتورة نقطة البيع,
POS Invoice:Link/POS Invoice,فاتورة نقطة البيع,
POS Item Variants,خيارات أصناف نقطة البيع,
POS Opening Entry,قيد افتتاح نقطة البيع,
POS Profile,ملف نقطة البيع,
POS Profile ,ملف نقطة البيع,
POS Transactions,معاملات نقطة البيع,
POS V1,نقطة البيع V1,
POS Variants,خيارات نقطة البيع,
Parcel Order Printer,طابعة الطلبات الخارجية,
Pax,عدد الضيوف,
Payment Amount,مبلغ الدفع,
Payment Mode,طريقة الدفع,
Payment Reconciliation,تسوية المدفوعات,
Payment Type,نوع الدفع,
Per Unit,لكل وحدة,
Percent,النسبة,
Percentage Expenses,المصروفات النسبية,
Percentage Type,نوع النسبة,
Period Details,تفاصيل الفترة,
Period End Date,تاريخ انتهاء الفترة,
Period Start Date,تاريخ بدء الفترة,
Please add this item to the URY Menu to make it available in POS,أضف هذا الصنف إلى قائمة URY ليظهر في نقطة البيع,
Please set an active menu for Restaurant {0},يرجى تعيين قائمة نشطة للمطعم {0},
Point of Sale,نقطة البيع,
Posting Date,تاريخ القيد,
Posting Time,وقت القيد,
Phone In,طلب هاتفي,
Price List (Auto created),قائمة الأسعار (تُنشأ تلقائيًا),
Print,طباعة,
Printer,الطابعة,
Printer Info,معلومات الطابعة,
Printer Settings,إعدادات الطابعة,
Printer info,معلومات الطابعة,
Printers,الطابعات,
Priority,الأولوية,
Production,الإنتاج,
Profit / Loss,الربح أو الخسارة,
Qty,الكمية,
Quantity,الكمية,
QZ Host,مضيف QZ,
QZ Print,الطباعة عبر QZ,
Queued,في قائمة الانتظار,
Rate,السعر,
Reason,السبب,
Received Amount,المبلغ المستلم,
Rectangle,مستطيل,
Receiver By Role,المستلم حسب الدور,
Recipients,المستلمون,
Remarks,ملاحظات,
Repeated Customers,العملاء المتكررون,
Reprint KOT Format,تنسيق إعادة طباعة تذكرة المطبخ,
Require Daily POS Closing,اشتراط الإغلاق اليومي لنقطة البيع,
Reset Order Number Daily,إعادة ضبط رقم الطلب يوميًا,
Restaurant,المطعم,
Restaurant Info,معلومات المطعم,
Restaurant Menu,قائمة المطعم,
Restaurant Prefix For Sales Invoice,بادئة المطعم لفاتورة المبيعات,
Restaurant Room,صالة المطعم,
Restaurant Table,طاولة المطعم,
Role,الدور,
Role Allowed For Billing,الدور المسموح له بالفوترة,
Role Permitted,الدور المسموح,
Role Permitted For Captain Transfer,الدور المسموح له بنقل مسؤول الطاولة,
Role Restricted For Table Order,الدور المقيّد عن طلبات الطاولات,
Room,الصالة,
Room Type,نوع الصالة,
Room Wise Menu,قائمة حسب الصالة,
Rooms,الصالات,
Round Off,فرق التقريب,
Rounded Total,الإجمالي بعد التقريب,
Serve Priority,أولوية التقديم,
Served Time,وقت التقديم,
Sales Amount,قيمة المبيعات,
Serving Priority,أولوية التقديم,
Service Wise Sales,المبيعات حسب نوع الخدمة,
Set a limit for the cashier to view a restricted number of recently paid invoices.,حدّد عدد الفواتير المدفوعة مؤخرًا التي يمكن لأمين الصندوق عرضها.,
Show Item Image In URY Pos,إظهار صورة الصنف في نقطة بيع URY,
Show Limited Paid Invoices,تحديد عدد الفواتير المدفوعة المعروضة,
Square,مربع,
Special Dish,طبق مميز,
Split From,مقسّمة من,
Split Group,مجموعة التقسيم,
Start Time For Preparation,وقت بدء التحضير,
Status,الحالة,
Sub POS Close Entry,قيد إغلاق نقطة البيع الفرعي,
Sub POS Closing,إغلاق نقطة البيع الفرعي,
Sub POS Closing Payment,دفعة إغلاق نقطة البيع الفرعي,
Sub POS Invoices,فواتير نقطة البيع الفرعية,
Submitted,مُعتمدة,
Summary,الملخص,
System Manager,مدير النظام,
Table,الطاولة,
Table Attention time,مدة تنبيه الطاولة,
Table Info,معلومات الطاولة,
Table List,قائمة الطاولات,
Table Order Printer,طابعة طلبات الطاولات,
Table Shape,شكل الطاولة,
Table Takeaway,طاولة الطلب الخارجي,
Take Away,طلب خارجي,
Take Away List,قائمة الطلبات الخارجية,
Tax,الضريبة,
Tax Percent,نسبة الضريبة,
This method is only meant for developer mode,هذه العملية مخصصة لوضع المطور فقط,
This role grants permissions for Captain Transfer with access to all tables,يمنح هذا الدور صلاحية نقل مسؤول الطاولة مع إمكانية الوصول إلى جميع الطاولات,
"This role grants permissions for Captain Transfer with access to all tables
",يمنح هذا الدور صلاحية نقل مسؤول الطاولة مع إمكانية الوصول إلى جميع الطاولات,
Time,الوقت,
Time Wise Sales,المبيعات حسب الوقت,
To Date,إلى تاريخ,
Today,اليوم,
Today's Sales,مبيعات اليوم,
Total Amount,إجمالي المبلغ,
Total Direct Expense,إجمالي المصروفات المباشرة,
Total Direct Expense Percent,نسبة إجمالي المصروفات المباشرة,
Total Indirect Expenses,إجمالي المصروفات غير المباشرة,
Total Indirect Expenses Percent,نسبة إجمالي المصروفات غير المباشرة,
Total Invoices,إجمالي الفواتير,
Total Production Time,إجمالي وقت الإنتاج,
Total Quantity,إجمالي الكمية,
Total Sales,إجمالي المبيعات,
Total Spend Time,إجمالي الوقت المستغرق,
Total Taxes and Charges,إجمالي الضرائب والرسوم,
Type,النوع,
Units Consumed,الوحدات المستهلكة,
Update,تحديث,
URY,URY,
URY Cost Of Goods,تكلفة البضاعة في URY,
URY Daily P and L,الأرباح والخسائر اليومية في URY,
URY Fixed Expenses,المصروفات الثابتة في URY,
URY KOT,تذكرة مطبخ URY,
URY KOT Error Log,سجل أخطاء تذاكر مطبخ URY,
URY KOT Items,أصناف تذكرة مطبخ URY,
URY KOT Naming Series,سلسلة ترقيم تذاكر مطبخ URY,
URY Last Aggregator Invoice,آخر فاتورة منصة طلبات في URY,
URY Last Invoice,آخر فاتورة في URY,
URY Materials,مواد URY,
URY Menu,قائمة URY,
URY Menu Course,مرحلة التقديم في قائمة URY,
URY Menu Item,صنف قائمة URY,
URY Merged POS Invoice Detail,تفاصيل فاتورة نقطة بيع URY المدمجة,
URY Notification Recipient,مستلم إشعارات URY,
URY Order,طلب URY,
URY Order Item,صنف طلب URY,
URY Order Number,رقم طلب URY,
URY P and L Breakup,تفصيل الأرباح والخسائر في URY,
URY P and L Materials,مواد الأرباح والخسائر في URY,
URY POS,نقطة بيع URY,
URY Printer Settings,إعدادات طابعة URY,
URY Production Item Groups,مجموعات أصناف إنتاج URY,
URY Production Unit,وحدة إنتاج URY,
URY Report Settings,إعدادات تقارير URY,
URY Restaurant,مطعم URY,
URY Room,صالة URY,
URY Setup,إعداد URY,
URY Table,طاولة URY,
URY User,مستخدم URY,
URY Variable Expenses,المصروفات المتغيرة في URY,
URY pos restrictions ,قيود نقطة بيع URY,
User,المستخدم,
User Details,تفاصيل المستخدم,
"Users assigned this role will function as cashiers in URY POS, responsible for managing billing transactions.",يعمل المستخدمون المسند إليهم هذا الدور كأمناء صندوق في نقطة بيع URY ويتولون معاملات الفوترة.,
Users with this role have restricted access to table order functions.,تُقيّد صلاحية المستخدمين الحاصلين على هذا الدور في وظائف طلبات الطاولات.,
Validate that the previous day’s POS is closed before opening a new one.,التحقق من إغلاق نقطة بيع اليوم السابق قبل افتتاح وردية جديدة.,
Validation Error,خطأ في التحقق,
Verified,تم التحقق,
Waiter,مقدم الخدمة,
Warehouse,المستودع,
Warning,تحذير,
Websocket Print,الطباعة عبر WebSocket,
YEAR,السنة,
Whether the branch is open after 12 AM.,تحديد ما إذا كان الفرع يعمل بعد الساعة 12 منتصف الليل.,
closing reading(Unit),القراءة الختامية (وحدة),
naming_series,سلسلة الترقيم,
opening reading(Unit),القراءة الافتتاحية (وحدة),
user,المستخدم,
verified_by,تم التحقق بواسطة,
